"","date","newCasesByPublishDate","cumCasesByPublishDate","newDeaths28DaysByPublishDate","cumDeaths28DaysByPublishDate","newTestsByPublishDate","cumTestsByPublishDate","newAdmissions","hospitalCases","covidOccupiedMVBeds"
"49","2020-02-20",0,9,0,NA,NA,NA,NA,NA,NA
"50","2020-02-21",0,9,0,NA,NA,NA,NA,NA,NA
"51","2020-02-22",0,9,0,NA,NA,NA,NA,NA,NA
"52","2020-02-23",0,9,0,NA,NA,NA,NA,NA,NA
"53","2020-02-24",4,13,0,NA,NA,NA,NA,NA,NA
"54","2020-02-25",0,13,0,NA,NA,NA,NA,NA,NA
"55","2020-02-26",0,13,0,NA,NA,NA,NA,NA,NA
"56","2020-02-27",0,13,0,NA,NA,NA,NA,NA,NA
"57","2020-02-28",6,19,0,NA,NA,NA,NA,NA,NA
"58","2020-02-29",4,23,0,NA,NA,NA,NA,NA,NA
"59","2020-03-01",12,35,0,NA,NA,NA,NA,NA,NA
"60","2020-03-02",5,40,0,NA,NA,NA,NA,NA,NA
"61","2020-03-03",11,51,0,NA,NA,NA,NA,NA,NA
"62","2020-03-04",34,85,0,NA,NA,NA,NA,NA,NA
"63","2020-03-05",29,114,0,NA,NA,NA,NA,NA,NA
"64","2020-03-06",46,160,1,1,NA,NA,NA,NA,NA
"65","2020-03-07",46,206,1,2,NA,NA,NA,NA,NA
"66","2020-03-08",65,271,0,2,NA,NA,NA,NA,NA
"67","2020-03-09",50,321,1,3,NA,NA,NA,NA,NA
"68","2020-03-10",52,373,4,7,NA,NA,NA,NA,NA
"69","2020-03-11",83,456,0,7,NA,NA,NA,NA,NA
"70","2020-03-12",134,590,2,9,NA,NA,NA,NA,NA
"71","2020-03-13",207,797,1,10,NA,NA,NA,NA,NA
